;;
Classe;Acurácia média;Desvio Padrão
Total;0.71;0.03
1;0.72;0.23
2;0.80;0.35
3;0.84;0.17
4;0.56;0.33
5;0.52;0.23
6;0.56;0.26
7;0.80;0.20
8;0.64;0.26
9;0.80;0.35
10;0.56;0.26
11;0.64;0.17
12;0.72;0.33
13;0.48;0.23
14;0.76;0.33
15;0.88;0.11
16;0.68;0.44
17;0.88;0.11
18;0.84;0.17
19;0.72;0.23
20;0.76;0.17
21;0.52;0.41
22;0.72;0.33
23;0.64;0.33
24;0.60;0.00
25;0.68;0.23
26;0.68;0.11
27;0.80;0.14
28;0.80;0.35
29;0.80;0.28
30;0.76;0.33
31;0.64;0.43
32;0.88;0.18
33;0.76;0.43
34;0.68;0.30
35;0.76;0.26
36;0.88;0.18
37;0.64;0.17
38;0.72;0.27
39;0.60;0.24
40;0.68;0.30
