"1";"2";"3";"4";"5";"6";"7";"8";"9";"10"
"0";0,355555555555556;0,355555555555556;0,355555555555556;0,355555555555556;0,355555555555556;0,355555555555556;0,355555555555556;0,355555555555556;0,355555555555556;0,355555555555556
"0.1";0,688888888888889;0,691111111111111;0,691111111111111;0,68;0,684444444444444;0,68;0,684444444444444;0,684444444444444;0,682222222222222;0,686666666666667
"0.2";0,691111111111111;0,688888888888889;0,686666666666667;0,686666666666667;0,684444444444444;0,677777777777778;0,688888888888889;0,695555555555556;0,7;0,708888888888889
"0.3";0,684444444444444;0,688888888888889;0,702222222222222;0,697777777777778;0,708888888888889;0,711111111111111;0,717777777777778;0,72;0,722222222222222;0,724444444444444
"0.4";0,68;0,691111111111111;0,715555555555556;0,713333333333333;0,72;0,731111111111111;0,735555555555556;0,728888888888889;0,717777777777778;0,717777777777778
"0.5";0,673333333333333;0,697777777777778;0,706666666666667;0,713333333333333;0,728888888888889;0,724444444444444;0,724444444444444;0,726666666666667;0,722222222222222;0,724444444444444
"0.6";0,668888888888889;0,682222222222222;0,697777777777778;0,708888888888889;0,713333333333333;0,711111111111111;0,713333333333333;0,711111111111111;0,715555555555556;0,713333333333333
"0.7";0,666666666666667;0,688888888888889;0,702222222222222;0,708888888888889;0,704444444444444;0,706666666666667;0,704444444444444;0,706666666666667;0,7;0,702222222222222
"0.8";0,657777777777778;0,686666666666667;0,697777777777778;0,693333333333333;0,702222222222222;0,697777777777778;0,695555555555556;0,695555555555556;0,686666666666667;0,686666666666667
"0.9";0,662222222222222;0,686666666666667;0,697777777777778;0,697777777777778;0,695555555555556;0,695555555555556;0,693333333333333;0,684444444444444;0,68;0,682222222222222
"1";0,66;0,68;0,686666666666667;0,677777777777778;0,673333333333333;0,677777777777778;0,675555555555556;0,666666666666667;0,66;0,657777777777778
