;Parâmetro Tau;;;;;;;;;;
Parâmetro sigma;;0.01;0.12;0.23;0.34;0.45;0.56;0.67;0.78;0.89;1
;0.1;0,687;0,664;0,669;0,678;0,680;0,682;0,682;0,676;0,678;0,680
;0.2;0,689;0,676;0,671;0,682;0,696;0,664;0,667;0,664;0,689;0,664
;0.3;0,680;0,673;0,662;0,676;0,680;0,689;0,680;0,680;0,684;0,678
;0.4;0,680;0,693;0,691;0,689;0,684;0,684;0,678;0,678;0,671;0,667
;0.5;0,689;0,684;0,664;0,682;0,693;0,691;0,682;0,678;0,673;0,669
;0.6;0,687;0,671;0,664;0,691;0,680;0,673;0,678;0,671;0,671;0,664
;0.7;0,669;0,656;0,662;0,653;0,651;0,656;0,653;0,667;0,664;0,664
;0.8;0,651;0,660;0,658;0,656;0,662;0,658;0,656;0,656;0,653;0,649
;0.9;0,620;0,636;0,629;0,591;0,629;0,627;0,596;0,627;0,629;0,627
;1;0,611;0,644;0,642;0,647;0,629;0,636;0,631;0,636;0,636;0,638
