;Parâmetro Tau;;;;;;;;;;
Parâmetro sigma;;0.4;0.41;0.42;0.43;0.44;0.45;0.47;0.48;0.49;0.5
;0.1;0,673;0,687;0,680;0,680;0,680;0,680;0,680;0,680;0,680;0,682
;0.12;0,669;0,702;0,671;0,669;0,669;0,669;0,669;0,669;0,667;0,691
;0.14;0,658;0,658;0,660;0,660;0,662;0,662;0,660;0,660;0,660;0,660
;0.17;0,664;0,664;0,664;0,667;0,667;0,667;0,664;0,667;0,667;0,667
;0.19;0,662;0,662;0,689;0,662;0,662;0,662;0,662;0,662;0,662;0,662
;0.21;0,667;0,667;0,689;0,667;0,669;0,669;0,684;0,669;0,669;0,669
;0.23;0,691;0,678;0,687;0,676;0,676;0,680;0,676;0,678;0,678;0,676
;0.26;0,680;0,680;0,678;0,678;0,680;0,691;0,678;0,691;0,678;0,678
;0.28;0,673;0,673;0,676;0,678;0,680;0,691;0,698;0,698;0,678;0,680
;0.3;0,700;0,682;0,682;0,680;0,700;0,680;0,676;0,680;0,682;0,682
