"0.01";"0.12";"0.23";"0.34";"0.45";"0.56";"0.67";"0.78";"0.89";"1"
"0.1";0,15086291913215;0,172235136658214;0,193621442659904;0,203726401803325;0,208481262327416;0,212042124542125;0,213827838827839;0,214426599041984;0,219181459566075;0,220371935756551
"0.2";0,121717385178924;0,132403493941955;0,147245703014934;0,156367990983376;0,181110876303184;0,175750211327134;0,181103832065371;0,185263454494224;0,19964426599042;0,194170893209355
"0.3";0,102141448295294;0,108664412510566;0,112820512820513;0,11875528317836;0,125274725274725;0,1336820231051;0,135372640180332;0,139539306846999;0,148439701324317;0,157343617920541
"0.4";0,0986122851507467;0,102162581008735;0,109872499295576;0,116406029867568;0,117603550295858;0,121164412510566;0,125912228796844;0,128286136939983;0,137179487179487;0,144301211608904
"0.5";0,0944315300084531;0,0997816286277825;0,106343336151028;0,109273739081431;0,110457171034094;0,112235841081995;0,121731473654551;0,121734995773457;0,125299380107072;0,129462524654832
"0.6";0,097985347985348;0,10887573964497;0,105226824457594;0,104536489151874;0,111073541842773;0,117001267962806;0,11996336996337;0,122936038320654;0,125901662440124;0,127690898844745
"0.7";0,108674978867287;0,121671597633136;0,111034798534799;0,129388560157791;0,127602845872077;0,132952944491406;0,133541138348831;0,1347280924204;0,127803606649761;0,140669907016061
"0.8";0,141966046773739;0,102141448295294;0,131899830938292;0,120572696534235;0,112831079177233;0,115194420963652;0,11994223724993;0,120540997464074;0,121129191321499;0,122319667511975
"0.9";0,241205269089884;0,197742321780783;0,20189842209073;0,230519160326853;0,209034234995773;0,21022471118625;0,246978021978022;0,214384333615103;0,21616652578191;0,216758241758242
"1";0,186834319526627;0,123499577345731;0,125281769512539;0,13004719639335;0,162771203155819;0,134784446322908;0,168107213299521;0,171671597633136;0,174041983657368;0,175813609467456
