"0.4";"0.411111111111111";"0.422222222222222";"0.433333333333333";"0.444444444444444";"0.455555555555556";"0.466666666666667";"0.477777777777778";"0.488888888888889";"0.5"
"0.1";0,207294308255847;0,199556213017751;0,206699070160609;0,207889546351085;0,207889546351085;0,208481262327416;0,209072978303748;0,209668216398986;0,210858692589462;0,2114539306847
"0.122222222222222";0,210217666948436;0,201831501831502;0,210812905043674;0,210812905043674;0,212595097210482;0,213785573400958;0,213785573400958;0,215567765567766;0,215567765567766;0,203856720202874
"0.144444444444444";0,184671738517892;0,185263454494224;0,185263454494224;0,187045646661031;0,187045646661031;0,187637362637363;0,188827838827839;0,189423076923077;0,189423076923077;0,190610030994646
"0.166666666666667";0,194685122569738;0,197062552831784;0,197062552831784;0,197062552831784;0,197654268808115;0,199432938856016;0,199432938856016;0,200623415046492;0,20121865314173;0,201813891236968
"0.188888888888889";0,185791772330234;0,185200056353903;0,192452099182868;0,187577486615948;0,187577486615948;0,188172724711186;0,188172724711186;0,189363200901662;0,189363200901662;0,191148915187377
"0.211111111111111";0,138355874894336;0,140729783037475;0,141913214990138;0,141913214990138;0,143100169061708;0,143100169061708;0,147263313609467;0,144878839109608;0,146657509157509;0,147844463229079
"0.233333333333333";0,140736827275289;0,135999577345731;0,138975767821922;0,136594815440969;0,137781769512539;0,145054945054945;0,139567483798253;0,139567483798253;0,138972245703015;0,139563961679346
"0.255555555555556";0,130638912369682;0,13123415046492;0,132417582417582;0,135383206537053;0,137760636799098;0,140733305156382;0,138951112989575;0,141920259227952;0,138355874894336;0,137168920822767
"0.277777777777778";0,124693575655114;0,124697097774021;0,12588405184559;0,125880529726684;0,126472245703015;0,130110594533671;0,13002606367991;0,131216539870386;0,128846153846154;0,129441391941392
"0.3";0,124073682727529;0,122904339250493;0,124686531417301;0,124686531417301;0,127638067061144;0,125274725274725;0,123651028458721;0,125869963369963;0,125869963369963;0,126461679346295
