"";"Acurácia Média - Treinamento";"Desvio Padrão - Treinamento";"Acurácia Média - Teste";"Desvio Padrão - Teste"
"5";0,940271966527197;0,0220930490822078;0,937317073170732;0,0291514570037738
"10";0,965062761506276;0,00682473634940224;0,964634146341463;0,018917444042334
"15";0,969142259414226;0,00406542782810218;0,96780487804878;0,0134664653945267
"20";0,970083682008368;0,00699146185796623;0,969512195121951;0,0119356215836486
"25";0,974581589958159;0,00509176149573895;0,963658536585366;0,0116810788561538
"30";0,974058577405858;0,00426047882985605;0,968780487804878;0,00749045752146259
"35";0,974058577405858;0,00368030630716553;0,97;0,0107660786957803
"40";0,97520920502092;0,00414399408467485;0,965853658536585;0,00852282037109004
"45";0,975418410041841;0,0052080573844009;0,964634146341463;0,0133238848975657
"50";0,976046025104602;0,00482223604040055;0,966829268292683;0,00995937142505446
"55";0,976150627615063;0,00462348327575802;0,965853658536585;0,0125618791504237
"60";0,977405857740586;0,00443011602219175;0,961951219512195;0,0105694348390208
"65";0,979602510460251;0,00395048077536009;0,960487804878049;0,011401658139153
"70";0,979811715481172;0,00327457653608755;0,960243902439024;0,00712631093808967
"75";0,980020920502092;0,00392708764132991;0,962195121951219;0,0135105683898653
"80";0,979811715481172;0,00476456896139904;0,956585365853658;0,0115109766331505
"85";0,981694560669456;0,00449592300885802;0,959512195121951;0,0138966949825508
"90";0,981485355648536;0,00327457653608756;0,955853658536585;0,0119984135378037
"95";0,983682008368201;0,00416202057870159;0,952439024390244;0,0111770138901362
"100";0,984832635983264;0,00464708847614351;0,952682926829268;0,0132508380244531
"300";1;0;0,813414634146341;0,023521099417056
